target_cumulative_incidence	individuals_sampled	mu	prob_infected_donates	optimal_depth	achieved_prob	converged	relative_error	annual_reads
1e-6	50000	1.2600000000000001e-5	0.1	999999992550	0.034	FALSE	0.9642105263157894	51999999612600
1e-5	50000	1.2600000000000001e-5	0.1	999999992550	0.3155	FALSE	0.6678947368421052	51999999612600
5e-5	50000	1.2600000000000001e-5	0.1	999999992550	0.874	FALSE	0.07999999999999996	51999999612600
1e-4	50000	1.2600000000000001e-5	0.1	390640272334	0.958	TRUE	0.008421052631578956	20313294161368
5e-4	50000	1.2600000000000001e-5	0.1	23312570982	0.942	TRUE	0.008421052631578956	1212253691064
0.001	50000	1.2600000000000001e-5	0.1	10404142203	0.95	TRUE	0	541015394556
1e-6	100000	1.2600000000000001e-5	0.1	999999992550	0.05	FALSE	0.9473684210526315	51999999612600
1e-5	100000	1.2600000000000001e-5	0.1	999999992550	0.4615	FALSE	0.5142105263157895	51999999612600
5e-5	100000	1.2600000000000001e-5	0.1	636978026386	0.956	TRUE	0.0063157894736842165	33122857372072
1e-4	100000	1.2600000000000001e-5	0.1	181888789669	0.964	TRUE	0.014736842105263171	9458217062788
5e-4	100000	1.2600000000000001e-5	0.1	20559536776	0.936	TRUE	0.014736842105263055	1069095912352
0.001	100000	1.2600000000000001e-5	0.1	9489374828	0.946	TRUE	0.004210526315789478	493447491056
1e-6	2000	0.001	0.2	999999992550	0.004	FALSE	0.9957894736842106	51999999612600
1e-5	2000	0.001	0.2	999999992550	0.044	FALSE	0.9536842105263158	51999999612600
5e-5	2000	0.001	0.2	999999992550	0.1915	FALSE	0.7984210526315789	51999999612600
1e-4	2000	0.001	0.2	999999992550	0.354	FALSE	0.6273684210526316	51999999612600
5e-4	2000	0.001	0.2	999999992550	0.8855	FALSE	0.06789473684210527	51999999612600
0.001	2000	0.001	0.2	329452318	0.964	TRUE	0.014736842105263171	17131520536
1e-6	10000	0.001	0.2	999999992550	0.0245	FALSE	0.9742105263157895	51999999612600
1e-5	10000	0.001	0.2	999999992550	0.1995	FALSE	0.7899999999999999	51999999612600
5e-5	10000	0.001	0.2	999999992550	0.663	FALSE	0.30210526315789465	51999999612600
1e-4	10000	0.001	0.2	999999992550	0.8845	FALSE	0.06894736842105263	51999999612600
5e-4	10000	0.001	0.2	244158072	0.966	TRUE	0.01684210526315791	12696219744
0.001	10000	0.001	0.2	79977081	0.942	TRUE	0.008421052631578956	4158808212
1e-6	50000	0.001	0.2	999999992550	0.106	FALSE	0.888421052631579	51999999612600
1e-5	50000	0.001	0.2	999999992550	0.64	FALSE	0.32631578947368417	51999999612600
