target_cumulative_incidence	individuals_sampled	mu	prob_infected_donates	optimal_depth	achieved_prob	converged	relative_error	annual_reads
5e-5	2000	1e-5	0.2	999999992550	0.202	FALSE	0.7873684210526316	51999999612600
1e-4	2000	1e-5	0.2	999999992550	0.35	FALSE	0.631578947368421	51999999612600
5e-4	2000	1e-5	0.2	999999992550	0.9025	FALSE	0.04999999999999999	51999999612600
0.001	2000	1e-5	0.2	30516209464	0.944	TRUE	0.0063157894736842165	1586842892128
1e-6	10000	1e-5	0.2	999999992550	0.0135	FALSE	0.9857894736842105	51999999612600
1e-5	10000	1e-5	0.2	999999992550	0.1805	FALSE	0.8099999999999999	51999999612600
5e-5	10000	1e-5	0.2	999999992550	0.656	FALSE	0.30947368421052623	51999999612600
1e-4	10000	1e-5	0.2	999999992550	0.872	FALSE	0.0821052631578947	51999999612600
5e-4	10000	1e-5	0.2	24414079706	0.968	TRUE	0.01894736842105265	1269532144712
0.001	10000	1e-5	0.2	7797243682	0.932	TRUE	0.018947368421052532	405456671464
1e-6	50000	1e-5	0.2	999999992550	0.052	FALSE	0.9452631578947368	51999999612600
1e-5	50000	1e-5	0.2	999999992550	0.509	FALSE	0.46421052631578946	51999999612600
5e-5	50000	1e-5	0.2	423402754768	0.948	TRUE	0.002105263157894739	22016943247936
1e-4	50000	1e-5	0.2	110265032902	0.954	TRUE	0.004210526315789478	5733781710904
5e-4	50000	1e-5	0.2	12994977272	0.95	TRUE	0	675738818144
0.001	50000	1e-5	0.2	5897226440	0.94	TRUE	0.010526315789473694	306655774880
1e-6	100000	1e-5	0.2	999999992550	0.056	FALSE	0.9410526315789474	51999999612600
1e-5	100000	1e-5	0.2	999999992550	0.6645	FALSE	0.3005263157894737	51999999612600
5e-5	100000	1e-5	0.2	234651699864	0.958	TRUE	0.008421052631578956	12201888392928
1e-4	100000	1e-5	0.2	79793499670	0.944	TRUE	0.0063157894736842165	4149261982840
5e-4	100000	1e-5	0.2	12037339256	0.96	TRUE	0.010526315789473694	625941641312
0.001	100000	1e-5	0.2	5722257008	0.932	TRUE	0.018947368421052532	297557364416
1e-6	2000	1e-6	0.2	999999992550	0.005	FALSE	0.9947368421052631	51999999612600
1e-5	2000	1e-6	0.2	999999992550	0.0355	FALSE	0.9626315789473684	51999999612600
5e-5	2000	1e-6	0.2	999999992550	0.186	FALSE	0.8042105263157895	51999999612600
1e-4	2000	1e-6	0.2	999999992550	0.3265	FALSE	0.6563157894736842	51999999612600
5e-4	2000	1e-6	0.2	999999992550	0.8685	FALSE	0.08578947368421043	51999999612600
0.001	2000	1e-6	0.2	279849424708	0.948	TRUE	0.002105263157894739	14552170084816
1e-6	10000	1e-6	0.2	999999992550	0.0115	FALSE	0.9878947368421053	51999999612600
1e-5	10000	1e-6	0.2	999999992550	0.077	FALSE	0.9189473684210526	51999999612600
5e-5	10000	1e-6	0.2	999999992550	0.389	FALSE	0.5905263157894737	51999999612600
1e-4	10000	1e-6	0.2	999999992550	0.6885	FALSE	0.2752631578947368	51999999612600
5e-4	10000	1e-6	0.2	221401900388	0.968	TRUE	0.01894736842105265	11512898820176
0.001	10000	1e-6	0.2	78544618464	0.942	TRUE	0.008421052631578956	4084320160128
1e-6	50000	1e-6	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	50000	1e-6	0.2	999999992550	0.022	FALSE	0.9768421052631578	51999999612600
5e-5	50000	1e-6	0.2	999999992550	0.5085	FALSE	0.46473684210526317	51999999612600
1e-4	50000	1e-6	0.2	999511592096	0.94	TRUE	0.010526315789473694	51974602788992
5e-4	50000	1e-6	0.2	136779801238	0.962	TRUE	0.012631578947368433	7112549664376
0.001	50000	1e-6	0.2	58227541030	0.931	TRUE	0.019999999999999903	3027832133560
1e-6	100000	1e-6	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	100000	1e-6	0.2	999999992550	0.003	FALSE	0.9968421052631579	51999999612600
5e-5	100000	1e-6	0.2	999999992550	0.5545	FALSE	0.4163157894736842	51999999612600
1e-4	100000	1e-6	0.2	780760879028	0.932	TRUE	0.018947368421052532	40599565709456
5e-4	100000	1e-6	0.2	120865435749	0.93	TRUE	0.02105263157894727	6285002658948
0.001	100000	1e-6	0.2	56816609695	0.954	TRUE	0.004210526315789478	2954463704140
1e-6	2000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	2000	1e-7	0.2	999999992550	0.0085	FALSE	0.9910526315789474	51999999612600
5e-5	2000	1e-7	0.2	999999992550	0.0295	FALSE	0.9689473684210527	51999999612600
1e-4	2000	1e-7	0.2	999999992550	0.0545	FALSE	0.9426315789473684	51999999612600
5e-4	2000	1e-7	0.2	999999992550	0.4585	FALSE	0.5173684210526316	51999999612600
0.001	2000	1e-7	0.2	999999992550	0.8125	FALSE	0.1447368421052631	51999999612600
1e-6	10000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	10000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
5e-5	10000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
1e-4	10000	1e-7	0.2	999999992550	0.0035	FALSE	0.9963157894736843	51999999612600
5e-4	10000	1e-7	0.2	999999992550	0.5625	FALSE	0.40789473684210525	51999999612600
0.001	10000	1e-7	0.2	814577231176	0.954	TRUE	0.004210526315789478	42358016021152
1e-6	50000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	50000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
5e-5	50000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
1e-4	50000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
5e-4	50000	1e-7	0.2	999999992550	0.643	FALSE	0.32315789473684203	51999999612600
0.001	50000	1e-7	0.2	604524146994	0.962	TRUE	0.012631578947368433	31435255643688
1e-6	100000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	100000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
5e-5	100000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
1e-4	100000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
5e-4	100000	1e-7	0.2	999999992550	0.703	FALSE	0.26	51999999612600
0.001	100000	1e-7	0.2	562059622912	0.946	TRUE	0.004210526315789478	29227100391424
1e-6	2000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	2000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
5e-5	2000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
1e-4	2000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
